start	end	min_rate	max_rate
0	35000	0	7.31E-06
7000	42000	0	7.31E-06
14000	49000	0	7.31E-06
21000	56000	0	7.31E-06
28000	63000	0	7.31E-06
35000	70000	0	7.31E-06
42000	77000	5.10E-05	6.44E-05
49000	84000	0.000119479	0.000139735
56000	91000	0.00015531	0.000178525
63000	98000	0.000215871	0.000239605
70000	105000	0.000282968	0.000321962
77000	112000	0.000397988	0.000462947
84000	119000	0.00035958	0.000417316
91000	126000	0.000390501	0.000482282
98000	133000	0.000399918	0.000501226
105000	140000	0.000461038	0.000580528
112000	147000	0.000508983	0.000663242
119000	154000	0.000561641	0.000730301
126000	161000	0.000542663	0.000677051
133000	168000	0.000497121	0.000623419
140000	175000	0.000405497	0.000502273
147000	182000	0.000230235	0.000264379
154000	189000	0.000191536	0.00021474
161000	196000	0.000160783	0.000181419
168000	203000	0.000278609	0.000315087
175000	210000	0.000318866	0.000360533
182000	217000	0.00036225	0.000409117
189000	224000	0.000400668	0.000452646
196000	231000	0.000511136	0.000582404
203000	238000	0.000399303	0.000451712
210000	245000	0.00060559	0.000857048
217000	252000	0.000707119	0.001100927
224000	259000	0.000863844	0.001286335
231000	266000	0.000854134	0.001292587
238000	273000	0.000942268	0.001437567
245000	280000	0.000674131	0.000960627
252000	287000	0.000664963	0.000883372
259000	294000	0.000476387	0.00066765
266000	301000	0.000421425	0.000591927
273000	308000	0.000303912	0.000417207
280000	315000	0.000303912	0.000417207
287000	322000	0.000206531	0.000239553
294000	329000	0.000216385	0.000254703
301000	336000	0.000234417	0.000261957
308000	343000	0.000281645	0.000313651
315000	350000	0.000287735	0.000319868
322000	357000	0.000245081	0.0002737
329000	364000	0.000241636	0.000269133
336000	371000	0.000471632	0.000849227
343000	378000	0.000481104	0.000866946
350000	385000	0.000541244	0.000951504
357000	392000	0.000563293	0.000990789
364000	399000	0.00053379	0.000960308
371000	406000	0.000281794	0.000383809
378000	413000	0.000265486	0.000375931
385000	420000	0.000220854	0.000324533
392000	427000	0.000187269	0.000278229
399000	434000	0.000196425	0.000283782
406000	441000	0.000212074	0.000306949
413000	448000	0.000207641	0.000297176
420000	455000	0.000228354	0.000329265
427000	462000	0.000315072	0.000433284
434000	469000	0.000374049	0.000517971
441000	476000	0.000299556	0.000405026
448000	483000	0.000326206	0.000430245
455000	490000	0.000329296	0.000417682
462000	497000	0.000296817	0.000381072
469000	504000	0.000232759	0.000287017
476000	511000	0.00025865	0.000317048
483000	518000	0.000255938	0.000317534
490000	525000	0.000237158	0.000286808
497000	532000	0.00026421	0.000321573
504000	539000	0.000321523	0.000403031
511000	546000	0.00035843	0.000449093
518000	553000	0.000403285	0.000498254
525000	560000	0.000439814	0.000547862
532000	567000	0.000360059	0.000442682
539000	574000	0.000289661	0.000342572
546000	581000	0.000239048	0.000279241
553000	588000	0.000234513	0.000304166
560000	595000	0.000252757	0.000345666
567000	602000	0.00031419	0.000421775
574000	609000	0.000312519	0.000419997
581000	616000	0.000342119	0.000451037
588000	623000	0.000280489	0.000350045
595000	630000	0.000299388	0.000361748
602000	637000	0.000240827	0.000291294
609000	644000	0.00027292	0.000331485
616000	651000	0.000301073	0.000364539
623000	658000	0.000292811	0.000347225
630000	665000	0.000221139	0.000248315
637000	672000	0.00021691	0.000241061
644000	679000	0.000259375	0.000285385
651000	686000	0.000252826	0.000280269
658000	693000	0.000276244	0.000308282
665000	700000	0.000289781	0.000323465
672000	707000	0.00027718	0.000310609
679000	714000	0.000230669	0.000256994
686000	721000	0.000202204	0.000226449
693000	728000	0.000214062	0.000235961
700000	735000	0.000276474	0.00031398
707000	742000	0.00077531	0.001678389
714000	749000	0.000849227	0.001758245
721000	756000	0.000845723	0.001749986
728000	763000	0.000891382	0.001905234
735000	770000	0.001021644	0.002241831
742000	777000	0.00067714	0.001192923
749000	784000	0.000624942	0.001162685
756000	791000	0.000754783	0.001438614
763000	798000	0.000710637	0.001293177
770000	805000	0.000635306	0.001102499
777000	812000	0.000557564	0.000876222
784000	819000	0.000516998	0.000805979
791000	826000	0.000355734	0.000497108
798000	833000	0.000332567	0.000462957
805000	840000	0.000162606	0.000180804
812000	847000	0.000137101	0.000145664
819000	854000	0.000163666	0.000175169
826000	861000	0.000179992	0.000191793
833000	868000	0.000149993	0.000160087
840000	875000	0.000701351	0.001589699
847000	882000	0.000739613	0.001650004
854000	889000	0.00120439	0.002978352
861000	896000	0.001203063	0.00297762
868000	903000	0.00126306	0.003051618
875000	910000	0.000743017	0.001654343
882000	917000	0.000764474	0.001796369
889000	924000	0.000382262	0.000730172
896000	931000	0.000860403	0.002054777
903000	938000	0.001342138	0.00346748
910000	945000	0.001672177	0.004379754
917000	952000	0.00284328	0.007542775
924000	959000	0.003477131	0.009153178
931000	966000	0.003514427	0.009254558
938000	973000	0.003630029	0.00948999
945000	980000	0.003929732	0.010314808
952000	987000	0.002637365	0.006884129
959000	994000	0.002560796	0.006791859
966000	1001000	0.003063731	0.008135022
973000	1008000	0.002895433	0.007767183
980000	1015000	0.002775102	0.007475074
987000	1022000	0.003117851	0.008406761
994000	1029000	0.002545479	0.006895374
1001000	1036000	0.002223503	0.006049091
1008000	1043000	0.002835787	0.007648271
1015000	1050000	0.00328952	0.008825876
1022000	1057000	0.003471335	0.0093201
1029000	1064000	0.003558343	0.009514425
1036000	1071000	0.002954396	0.007856933
1043000	1078000	0.001988453	0.005270937
1050000	1085000	0.001498071	0.004007738
1057000	1092000	0.001067076	0.002836173
1064000	1099000	0.001519357	0.003976428
1071000	1106000	0.002226344	0.005894134
1078000	1113000	0.002266389	0.005928898
1085000	1120000	0.002828805	0.007381252
1092000	1127000	0.003142959	0.008151715
1099000	1134000	0.002784386	0.007302431
1106000	1141000	0.002026712	0.005170659
1113000	1148000	0.001881289	0.004799953
1120000	1155000	0.000825257	0.001966235
1127000	1162000	0.000417535	0.000941427
1134000	1169000	0.000178943	0.000205658
1141000	1176000	0.00021177	0.000251245
1148000	1183000	0.000252098	0.000307174
1155000	1190000	0.000291654	0.000358365
1162000	1197000	0.000342996	0.000422281
1169000	1204000	0.000375241	0.000461675
1176000	1211000	0.00034197	0.000419273
1183000	1218000	0.000293436	0.000362488
1190000	1225000	0.00025388	0.000311719
1197000	1232000	0.000217537	0.000262919
1204000	1239000	0.000250111	0.0002843
1211000	1246000	0.000236456	0.000258091
1218000	1253000	0.000199664	0.000211594
1225000	1260000	0.000184665	0.000195949
1232000	1267000	0.000171174	0.000182425
1239000	1274000	7.02E-05	7.39E-05
1246000	1281000	6.00E-05	6.48E-05
1253000	1288000	0.000169599	0.000187439
1260000	1295000	0.000194698	0.00021353
1267000	1302000	0.000412522	0.000467606
1274000	1309000	0.000520783	0.000661075
1281000	1316000	0.000590313	0.000789987
1288000	1323000	0.000571346	0.000790503
1295000	1330000	0.00056728	0.000789413
1302000	1337000	0.000400702	0.000591593
1309000	1344000	0.000308661	0.000415013
1316000	1351000	0.000209167	0.00025361
1323000	1358000	0.000146055	0.000159705
1330000	1365000	0.000140021	0.00015026
1337000	1372000	0.000102266	0.000108229
1344000	1379000	0.000149993	0.000162518
1351000	1386000	0.000147517	0.000159949
1358000	1393000	0.000149993	0.000162059
1365000	1400000	0.000134994	0.000146503
1372000	1407000	0.000164993	0.000179471
1379000	1414000	0.000122475	0.000128936
1386000	1421000	0.000122475	0.000128936
1393000	1428000	0.000117755	0.000124426
1400000	1435000	0.000194244	0.00020695
1407000	1442000	0.00026519	0.000321991
1414000	1449000	0.000317635	0.000404093
1421000	1456000	0.000372213	0.000481584
1428000	1463000	0.000497429	0.000647355
1435000	1470000	0.000428471	0.00057326
1442000	1477000	0.00058375	0.000756727
1449000	1484000	0.000568052	0.000719166
1456000	1491000	0.000570773	0.000711585
1463000	1498000	0.000459204	0.000566897
1470000	1505000	0.000499556	0.00061744
1477000	1512000	0.000375887	0.000444742
1484000	1519000	0.00040797	0.000485071
1491000	1526000	0.000411891	0.00049017
1498000	1533000	0.000392161	0.000463814
1505000	1540000	0.000407609	0.000490856
1512000	1547000	0.00031108	0.000386978
1519000	1554000	0.00022637	0.000287114
1526000	1561000	0.000210326	0.00025963
1533000	1568000	0.000266077	0.000319422
1540000	1575000	0.000234345	0.000267804
1547000	1582000	0.000198319	0.00021298
1554000	1589000	0.00024555	0.000267599
1561000	1596000	0.000301343	0.000329989
1568000	1603000	0.000271394	0.000297051
1575000	1610000	0.000280231	0.000309935
1582000	1617000	0.000348493	0.000389002
1589000	1624000	0.000299663	0.000332231
1596000	1631000	0.000243692	0.000268455
1603000	1638000	0.000213693	0.000235658
1610000	1645000	0.000252501	0.000275688
1617000	1652000	0.000237054	0.000252386
1624000	1659000	0.00027507	0.000297687
1631000	1666000	0.000251609	0.000273766
1638000	1673000	0.000260071	0.000283422
1645000	1680000	0.000180827	0.000196111
1652000	1687000	0.000113013	0.000124455
1659000	1694000	6.02E-05	6.28E-05
1666000	1701000	0.000116644	0.000130733
1673000	1708000	0.00014771	0.000170948
1680000	1715000	0.000173682	0.000198447
1687000	1722000	0.000266885	0.000339076
1694000	1729000	0.000252231	0.000324346
1701000	1736000	0.000248992	0.000335994
1708000	1743000	0.000239199	0.000339081
1715000	1750000	0.000285317	0.000415578
1722000	1757000	0.000240828	0.000335187
1729000	1764000	0.000301533	0.000400219
1736000	1771000	0.000241767	0.000314345
1743000	1778000	0.000212032	0.000261388
1750000	1785000	0.00018494	0.000205671
1757000	1792000	0.000151225	0.000160626
1764000	1799000	0.000134994	0.000142101
1771000	1806000	0.000154277	0.000164304
1778000	1813000	0.000158773	0.000169349
1785000	1820000	0.000178107	0.000191813
1792000	1827000	0.000179992	0.000194656
1799000	1834000	0.000188198	0.000205838
1806000	1841000	0.000197235	0.000214466
1813000	1848000	0.000216683	0.000235058
1820000	1855000	0.000177768	0.000191354
1827000	1862000	0.000165465	0.000178149
1834000	1869000	0.000142259	0.000150989
1841000	1876000	0.000113939	0.000119824
1848000	1883000	7.50E-05	7.85E-05
1855000	1890000	5.46E-05	5.67E-05
1862000	1897000	9.08E-05	9.48E-05
1869000	1904000	9.00E-05	9.49E-05
1876000	1911000	9.00E-05	9.51E-05
1883000	1918000	0.000140042	0.000147599
1890000	1925000	0.000164474	0.000176945
1897000	1932000	0.000144923	0.000159081
1904000	1939000	0.000120517	0.000133382
1911000	1946000	0.000136508	0.000153962
1918000	1953000	0.000109464	0.000128706
1925000	1960000	0.000166004	0.000193937
1932000	1967000	0.000233499	0.000271124
1939000	1974000	0.000275602	0.00031949
1946000	1981000	0.000261855	0.000302239
1953000	1988000	0.000248514	0.000285064
1960000	1995000	0.000237506	0.000264864
1967000	2002000	0.000178812	0.000194064
1974000	2009000	0.000131899	0.000140213
1981000	2016000	0.000141382	0.000149177
1988000	2023000	0.000164993	0.000174319
1995000	2030000	0.000128234	0.000135545
2002000	2037000	0.000151851	0.000162746
2009000	2044000	0.000200938	0.00021383
2016000	2051000	0.000204212	0.000217168
2023000	2058000	0.000227544	0.000246155
2030000	2065000	0.000280923	0.00031283
2037000	2072000	0.000331124	0.000371337
2044000	2079000	0.000309323	0.000353878
2051000	2086000	0.000312202	0.000363276
2058000	2093000	0.000315689	0.000372842
2065000	2100000	0.000239072	0.0002809
2072000	2107000	0.000195252	0.000229547
2079000	2114000	0.000182965	0.000211137
2086000	2121000	0.000150087	0.00017029
2093000	2128000	9.00E-05	9.66E-05
2100000	2135000	7.50E-05	8.10E-05
2107000	2142000	1.50E-05	1.52E-05
2114000	2149000	-5.92E-18	-5.92E-18
2121000	2156000	1.90E-05	1.98E-05
2128000	2163000	7.70E-05	8.49E-05
